time,Vib_Spindle,Vib_Table,Sound_Spindle,Sound_table,X_Load_Cell,Y_Load_Cell,Z_Load_Cell,Current,tool_wear,ACTION_CODE
1,3.816537976,5.110499284,1.737159584,4.534929323,0.005046544,-0.110074408,0.194502737,1.428599377,60,0
2,3.902714319,5.271011089,2.233669799,3.819115986,0.010309216,-0.057776604,0.214566674,-0.163358963,60,0
3,3.868835832,4.927950022,2.181024567,3.828493445,-0.009754722,-0.039357252,0.227394437,1.837114359,60,0
4,3.999744939,4.961828532,2.58145746,0.98186567,-0.003176382,0.044516584,0.228381188,3.084368132,60,0
5,3.988561749,4.966762296,1.676124053,1.278652859,-0.006465552,0.065238355,0.23923545,3.868177998,60,0
6,3.96849779,5.061819479,2.068495394,1.826656435,0.002415207,0.01754539,0.234959529,2.558758485,60,0
7,3.919160186,4.965775543,1.969785607,1.894272627,0.000770622,0.005704378,0.236604114,2.360092538,60,0
8,3.897451641,5.059517055,1.966495281,2.584912305,0.019847809,-0.038041584,0.248774043,1.361829219,60,0
9,3.955670013,5.098000415,2.756338457,3.607547397,-0.009754722,-0.035739165,0.247787292,2.62388408,60,0
10,3.940868732,4.913806567,2.363473215,4.890780036,0.001428456,-0.074222454,0.259299387,0.828983641,60,0
11,3.948762748,5.000969724,2.031972772,4.233534076,0.005375461,-0.033107829,0.256339134,2.635067263,60,0
12,3.937579558,4.946369406,2.563360652,3.672531518,0.005704378,-0.01435956,0.246142707,2.004204234,60,0
13,3.842522445,5.157863421,1.93095976,2.664867299,0.001428456,0.011295967,0.256996968,1.227302152,72,0
14,3.921133691,4.964130955,2.578660681,2.223634301,0.029386402,0.036622576,0.260615055,3.492554431,72,0
15,3.982641236,5.060174891,2.485544384,2.720473865,0.009322465,0.00208629,0.251734296,1.790737052,72,0
16,3.865546659,5.080567782,1.384601294,1.193597988,-0.000216129,0.045832252,0.248445126,2.853139344,72,0
17,3.948433831,4.992088949,2.98896481,2.051879246,-0.000216129,-0.04396209,0.245155956,3.65043473,72,0
18,4.016190808,5.028598801,2.054017958,1.562936878,0.000770622,0.06688294,0.247129458,2.925501124,72,0
19,3.96224836,5.100302838,2.556779995,2.762261051,-0.00778122,-0.009096888,0.273113901,3.3280958,72,0
20,3.997442518,5.030901225,3.372453021,3.215668661,0.004059792,-0.044291007,0.256668051,0.449084498,72,0
21,3.995140096,5.070700254,2.909832356,2.216889131,-0.003505299,-0.014688477,0.256996968,3.427099894,72,0
22,3.794171597,5.021362614,2.564018718,1.355646441,-0.00449205,0.021821311,0.256010217,2.546259633,72,0
23,3.948762748,5.078594276,2.509234748,2.880383898,0.011295967,-0.038699418,0.256996968,1.529905827,72,0
24,3.905674575,4.913148732,2.788583689,4.856395924,0.000112788,-0.064683861,0.2556813,-0.607068012,72,0
25,3.967839955,5.037479576,2.578331648,1.658191782,-0.007123386,0.03728041,0.244498122,1.575296379,72,0
26,3.914884261,5.094382321,2.189908449,2.144337423,-0.00778122,-0.005149884,0.240222201,1.755542926,72,0
27,3.85798156,4.910846309,1.986895303,1.473604566,0.00208629,-0.002847465,0.246800541,3.544523362,72,0
28,3.875743097,5.088461805,2.515157339,0.794481766,0.004717627,0.02083456,0.247129458,4.502988588,72,0
29,3.872453923,5.075634018,2.845506398,3.53433745,0.004717627,-0.060079023,0.256010217,2.36206604,72,0
30,3.908634831,4.933870538,2.844354782,2.700896405,0.001757373,0.006033295,0.255352383,1.511486472,131,0
31,3.925080699,4.971367142,1.983604977,0.771120473,0.008006797,0.041556331,0.257983719,5.291403984,131,0
32,3.993166592,4.988141938,2.459879824,1.945766227,0.004717627,0.036951493,0.258641553,1.813103413,131,0
33,3.921791525,5.037808494,2.267889202,3.072045673,-0.000545046,-0.012714975,0.251405379,1.810143159,131,0
34,3.906661327,5.072015924,2.770157842,1.885882296,0.011953801,-0.010083639,0.242853537,2.320622483,131,0
35,3.887584121,5.084185876,2.656970509,3.559837542,0.002744124,-0.08244538,0.246800541,0.605977909,131,0
36,3.951394087,5.131550012,2.427634609,2.236631093,0.000770622,-0.012057141,0.246471624,1.989074048,131,0
37,3.921462608,4.948671829,2.146311619,3.012984227,0.010638133,0.009651382,0.250418628,2.241682377,131,0
38,3.967839955,5.165099609,2.264434358,1.882427454,0.010309216,-0.027187323,0.252063213,3.844824866,131,0
